id;libelle;responsable;contact
1;Faubourg de;Outdoors c;Limousin Bhutanese orange
2;Reactive Tools;Object-based Consultant;Agent synthesizing
3;Soap b Chair;Liberian b Car;Haute-Normandie Ingenieur
4;Home deposit TCP;program;c
5;pink;Concrete deploy;strategy Unbranded
6;Sausages parallelism Automotive;Agent;Tasty compelling
7;red;Languedoc-Roussillon Steel Andorre;multi-byte Avon Pakistan
8;Nord-Pas-de-Calais;Plastic tan;protocol Borders
9;Poitou-Charentes mobile Computer;Consultant mindshare Assistant;invoice XSS
10;mint;program;Right-sized
