id;libelle;responsable;contact
1;ROI overriding;Haute-Normandie Chili digital;AGP
2;generate;forecast;Rubber invoice Swaziland
3;c mobile Sleek;Zloty;Pizza port
4;RAM;Incredible action-items;la
5;hack generate Bedfordshire;system-worthy initiatives;Bhoutan Joubert Fresh
6;RSS Kids withdrawal;capability a;primary
7;Plastic content;bluetooth;Reverse-engineered
8;Concrete Bedfordshire sensor;backing copy Refined;area
9;Pizza c;mindshare Victoire b;Nord-Pas-de-Calais Kip Metal
10;Centre quantify RAM;Chaussée-d'Antin;Algérie Digitized invoice
