id;libelle;responsable;contact
1;infrastructure Reverse-engineered;didactic Languedoc-Roussillon;b mobile
2;disintermediate Toys;Analyste Secured;solutions
3;program Executif;payment Expanded Bike;convergence Venezuela Bacon
4;redundant Basse-Normandie;Ergonomic;auxiliary Books Lepic
5;Cameroun bifurcated;a;real-time navigating local
6;matrix;Soap Tasty;Consultant Irlande payment
7;Incredible;Maurice Gorgeous;Sleek SDD Bourgogne
8;b Nord-Pas-de-Calais Chicken;Tools Zloty Multi-layered;haptic
9;Rubber magenta Kip;alarm archive virtual;architecture b
10;interfaces mobile Poitou-Charentes;quantify Borders;Oman
